;pergunta;resposta
0;Qual é o nome da empresa que desenvolveu League of Legends?;"Riot Games"
1;Em que ano League of Legends foi lançado?;"2009"
2;Qual é o nome do mapa principal do jogo?;"Summoner's Rift"
3;Quantos campeões estavam disponíveis no lançamento do jogo?;"40"
4;Qual é o nome do campeão conhecido como "O Curador dos Espíritos"?;"Yorick"
5;Qual é o nome da ultimate do Twisted Fate?;"Destino"
6;Qual é o nome da região onde Demacia e Noxus estão localizadas?;"Valoran"
7;Qual campeão tem uma habilidade chamada "Ataque Alfa"?;"Master Yi"
8;Qual é o nome do dragão que concede bônus diferentes ao ser abatido?;"Dragão Elemental"
9;Qual foi o primeiro campeão lançado após o lançamento oficial do jogo?;"Udyr"
10;Qual é o nome do modo de jogo temporário onde os feitiços de invocador são substituídos por feitiços especiais?;"Ultra Rápido e Furioso (URF)"
11;Qual é a função principal do Thresh?;"Suporte"
12;Qual campeão é conhecido como "A Gema do Vazio"?;"Bel'Veth"
13;Qual é a skin mais cara já lançada no jogo?;"PAX Twisted Fate"
14;Qual campeão usa uma bigorna para forjar armas?;"Ornn"
15;Quantas torres existem em cada lado do Summoner’s Rift no início do jogo?;"11"
16;Quem é o campeão que pode devorar aliados para protegê-los?;"Tahm Kench"
17;Qual é o nome do campeão inspirado em um gato mágico?;"Yuumi"
18;Qual campeão tem um dragão de três cabeças como ultimate?;"Aurelion Sol"
19;Qual o nome do feitiço de invocador que permite se teletransportar?;"Teleportar"
20;Qual campeão era um humano antes de se tornar um morto-vivo conhecido como "A Sombra da Guerra"?;"Hecarim"
21;Qual é o nome da habilidade passiva do Garen?;"Perseverança"
22;Quantas habilidades básicas um campeão geralmente possui, sem contar a ultimate?;"3"
23;Qual é a função principal do Graves?;"Atirador"
24;Qual é o nome do evento que introduziu a linha de skins PROJETO?;"PROJETO: PRIME"
25;Qual é o nome do torneio mundial de League of Legends?;"Worlds"
26;Qual é o nome do barão que aparece no Summoner’s Rift?;"Barão Nashor"
27;Qual é a região natal de Irelia?;"Ionia"
28;Qual é o nome do modo de jogo onde todos os jogadores jogam com o mesmo campeão?;"Um por Todos"
29;Quem é o melhor amigo do Sett?;"Draven"
30;Qual é a função principal do Kindred?;"Caçador"
31;Qual campeão é um yordle com um lança-chamas?;"Rumble"
32;Quem é a campeã que carrega uma lâmina gigante e luta por Noxus?;"Riven"
33;Qual é a classe principal de Leona?;"Tanque"
34;Qual é o nome da ultimate do Nasus?;"Fúria das Areias"
35;Qual é a campeã que pode trocar de forma para se tornar um jaguar?;"Nidalee"
36;Qual é o nome do campeão baseado em um samurai sem mestre?;"Yasuo"
37;Qual é o nome da skin mais rara do Teemo?;"Teemo Escoteiro"
38;Qual campeão tem uma habilidade chamada "Chuva de Flechas"?;"Varus"
39;Qual campeão foi inspirado em uma estrela do K-Pop?;"Seraphine"
40;Qual é a campeã conhecida como "A Filha das Estrelas"?;"Soraka"
41;Qual campeão pode criar um clone de si mesmo?;"Shaco"
42;Qual o nome da ultimate do Malphite?;"Força Incontrolável"
43;Qual é a região natal de Miss Fortune?;"Águas de Sentina"
44;Quantos feitiços de invocador existem no jogo atualmente?;"12"
45;Qual é o nome do pai da Vi e da Jinx?;"Não se sabe"
46;Qual é o nome da ult do Zilean?;"Cronoportão"
47;Qual campeão é um lobisomem?;"Warwick"
48;Qual é o nome do mapa usado no modo ARAM?;"Ponte da Carnificina"
49;Qual campeão tem uma habilidade chamada "Segunda Pele"?;"Kai’Sa"
50;Qual é o nome do evento anual que traz skins temáticas de verão?;"Festa na Piscina"
51;Qual campeão foi treinado por Shen?;"Zed"
52;Qual campeão pode reviver usando sua ultimate?;"Anivia"
53;Qual é o nome do campeão com um canhão no braço?;"Jinx"
54;Qual campeão foi criado por Singed?;"Warwick"
55;Quem é o melhor amigo do Rengar?;"Kha'Zix"
56;Qual campeão pode colocar barris explosivos?;"Gangplank"
57;Qual campeão pode transformar inimigos em ouro?;"Veigar"
58;Qual o nome da ultimate do Taric?;"Bastião Cósmico"
59;Qual campeão possui uma skin chamada "Caçador de Cabeças"?;"Rengar"
60;Qual campeão pode arremessar um barril de pólvora?;"Gragas"
61;Quem é o rival do Darius?;"Garen"
62;Qual campeão tem uma mecânica de 'enrage' em sua barra de habilidades?;"Renekton"
63;Qual campeão é conhecido como "O Colosso de Shurima"?;"Nasus"
64;Qual campeã é casada com Lucian?;"Senna"
65;Qual campeão pode se curar ao consumir almas?;"Thresh"
66;Qual campeão tem uma habilidade chamada "Tempestade de Raios"?;"Kennen"
67;Qual é o nome do dragão que concede dano verdadeiro ao ser abatido?;"Dragão Ancião"
68;Qual campeão é conhecido como "O Tirano"?;"Swain"
69;Qual campeão tem uma passiva chamada "Hexplosivo"?;"Ziggs"
70;Qual é a ultimate do Nocturne?;"Paranoia"
71;Quem é o chefe supremo de Noxus?;"Jericho Swain"
72;Qual é a função principal da Janna?;"Suporte"
73;Qual campeão usa um rifle sniper e é chamado de "Xerife de Piltover"?;"Caitlyn"
74;Quem são os pais de Akshan?;"Desconhecidos"
75;Quem é o campeão que controla bonecos de palha?;"Fiddlesticks"
76;Qual campeão é conhecido como "O Grande Artesão"?;"Jhin"
77;Quem é o irmão de Yasuo?;"Yone"
78;Quem é o campeão que pode se dividir em pedaços ao morrer?;"Zac"
79;Qual campeão é uma serpente marinha?;"Illaoi"
80;Qual é a ultimate do Pantheon?;"Grand Starfall"
81;Qual é a ultimate do Ekko?;"Cronoquebra"
82;Quem é a campeã baseada em uma bruxa das sombras?;"Morgana"
83;Qual é o nome do primeiro campeão lançado em 2023?;"Milio"
84;Qual campeão utiliza cartas como armas?;"Twisted Fate"
85;Qual campeão tem um crocodilo como inspiração?;"Renekton"
86;Qual campeão foi amaldiçoado por um deus de Shurima?;"Amumu"
87;Quem é o campeão robótico com ganchos?;"Blitzcrank"
88;Quem é o campeão mais antigo do jogo?;"Singed"
89;Qual é o nome do evento onde Noxus invade Ionia?;"A Grande Invasão de Noxus"
90;Qual é o nome do campeão que pode se transformar em qualquer outro campeão do jogo?;"Neeko"
91;Qual campeão é conhecido como "O Terror Imortal"?;"Sion"
92;Qual é o nome do irmão de Darius?;"Draven"
93;Qual é o nome da ultimate do Rengar?;"Predador Oculto"
94;Qual campeão tem uma habilidade chamada "Lançamento de Tonel"?;"Gragas"
95;Qual campeã possui um arco de gelo e é conhecida como "A Arqueira do Gelo"?;"Ashe"
96;Qual é o nome do item que concede um escudo a campeões que causam dano físico?;"Limiar da Noite"
97;Qual campeão tem uma habilidade chamada "Dança das Lâminas"?;"Irelia"
98;Quem é o campeão conhecido como "A Máquina de Combate de Zaun"?;"Urgot"
99;Qual é o nome da habilidade passiva do Rammus?;"Casco Espinhoso"
100;Qual é o nome do campeão que pode entrar no reino dos mortos com sua ultimate?;"Mordekaiser"